Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
PM17736,0250_0051,Franklin Square,2016,In Compliance,1300 I ST NW,TIAA FRANKLIN SQUARE LLC,2,WASHINGTON,DC,20005,1989,Office,Office,606768,517464,81,65.5,65.5,198.8,198.8,3782.3,7.3,8321.3,9431954.5,17256.41775,38.90100088,-77.03034999
PM3761920,0165_0814,818 Connecticut LLC,2016,In Compliance,0818 CONNECTICUT AV NW,818 CONNECTICUT LLC,2,WASHINGTON,DC,20006,1977,Office,Office,93196,93189,87,63.3,63.3,198.9,198.9,676.8,7.3,2407.8,1729658.8,NA,38.90090378,-77.03881198
PM3524412,0247_0873,Donovan House,2016,In Compliance,1155 14TH ST NW,LHO TOM JOAD CIRCLE DC LLC,2,WASHINGTON,DC,20005,1974,Hotel,Hotel,112867,145298,58,79.6,79.9,199.2,199.5,1109,7.6,5757.8,2354783.2,35329.96088,38.90509773,-77.03157046
PM2704668,0377_0040,The Pew Charitable Trusts,2016,In Compliance,0901 E ST NW,THE PEW CHARITABLE TRUSTS CO INC,2,WASHINGTON,DC,20004,1989,Office,Office,345480,262019,77,63.5,63.1,199.4,198,1907.8,7.3,14568.5,4875777.4,NA,38.89674159,-77.02417364
PM1495502,0186_0040,"1620 Eye, LLC",2016,In Compliance,1620 I ST NW,1620 EYE LLC,2,WASHINGTON,DC,20006,1971,Office,Office,125367,117509,76,63.5,64.7,199.5,203.3,856.1,7.3,3254.7,2188019.7,NA,38.90108618,-77.03750142
PM3630815,PAR01730118,3600 NY Properties LLC,2016,In Compliance,3600 NEW YORK AVE NE,3600 NY PROPERTIES LLC,5,WASHINGTON,DC,20002,1965,Office,Office,128160,123000,61,83.5,84.8,199.5,199.4,950.8,7.7,694.8,1929073.6,36898.00063,38.91693735,-76.95506335
PM1434327,0698_0032,20 M,2016,In Compliance,20 M ST SE,SOUTHEAST REALTY LLC,6,WASHINGTON,DC,20003,2006,Office,Office,297720,196545,86,63.8,63.7,200.2,200.2,1436.9,7.3,3598.2,3672342.8,NA,38.87679625,-77.00790436
PM4546033,0078_0850,Lombardy Towers APT Hotel,2016,In Compliance,2019 I ST NW,LOMBARDY TOWERS APT HOTEL,2,WASHINGTON,DC,20006,1929,Hotel,Hotel,85163,85163,59,89.1,89,200.4,197.8,671.2,7.9,7607.9,1275899.9,32379.18914,38.90164385,-77.04592077
PM3996319,2693_0042,Twin Oaks Apartments,2016,In Compliance,3800 14TH ST NW,TWIN OAKS LLC,4,WASHINGTON,DC,20011,1920,Multifamily Housing,Multifamily Housing,97377,97377,29,140.2,144.5,200.5,203.5,878,9,9286.2,727541.9,111713.2809,38.93824847,-77.03350133
PM1961354,0184_0856,"1620 L ST, N.W. Wash DC",2016,In Compliance,1620 L ST NW,I &G 1620 L STREET NW LLC,2,WASHINGTON,DC,20036,1989,Office,Office,160944,167886.5,64,63.9,63.9,200.7,200.7,1230.9,7.3,15758.6,3145666.1,NA,38.90340977,-77.03758634
PM3994435,2051_0006,4201 Connecticut Ave NW,2016,In Compliance,4201 CONNECTICUT AVE NW,BRICKMAN 4201 CONNECTICUT AVENUE LLC,3,WASHINGTON,DC,20008,1964,Office,Office,109032,68640,60,64,64,201.1,201,504.1,7.3,695.1,1288241.9,NA,38.94347706,-77.06263696
PM1349227,0181_0873,Resources for the Future Inc./Resources and Conservation Center LLC,2016,In Compliance,1400 16TH ST NW,C M LAND LLC,2,WASHINGTON,DC,20036,1959,Office,Office,278656,273886,82,64.3,64.3,201.8,201.8,5276.8,19.3,5403.7,5159889.8,NA,38.90907529,-77.03707464
PM1946550,1600_0001,Nebraska Hall,2016,In Compliance,4400 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,3,WASHINGTON,DC,20016,1980,Residence Hall-Dormitory,Residence Hall-Dormitory,1452667,106453,40,142.1,140.7,201.9,200.5,986.4,9.3,3024.2,769713.8,80347.19921,38.93908921,-77.08691058
PM3494759,0090_0032,2001 S Street,2016,In Compliance,2001 S ST NW,20TH & S ASSOCIATES LLC,2,WASHINGTON,DC,20009,1969,Office,Office,85007,59283,90,75.7,75.5,202.8,201.3,453.6,7.7,1527.3,1025391.2,9862.25881,38.91434974,-77.04508348
PM1479517,0537_0810,Capitol View,2016,In Compliance,425 3RD ST SW,SQUARE 537 ASSOCIATES LLC,6,WASHINGTON,DC,20024,2007,Office,Office,317623,252361,83,65.3,65.3,203,203,1874.7,7.4,6953.9,4756523,2554.691603,38.88360133,-77.01548904
PM4539355,2530_0310,CourtYard Marriott Dupont,2016,In Compliance,1900 CONNECTICUT AVE NW,NCPT CAPSTONE DUPONT LLC,2,WASHINGTON,DC,20009,1969,Hotel,Hotel,97125,97125,71,80.8,80.5,203.2,200.6,755.4,7.8,2596.8,1612028,23469.3682,38.91603665,-77.04687482
PM1397164,0218_0077,Franklin Tower,2016,In Compliance,1401 I ST NW,1401 EYE HOLDINGS LLC,2,WASHINGTON,DC,20005,1968,Office,Office,315944,237258,73,64.7,64.7,203.3,203.3,1761.3,7.4,3505.5,4501239.1,NA,38.90167406,-77.03242402
PM1657117,0166_0038,1775 Penn Ave,2016,In Compliance,1775 PENNSYLVANIA AVE NW,RS WASHINGTON CORPORATION,2,WASHINGTON,DC,20006,1975,Office,Office,309460,156813,67,64.7,64.7,203.3,203.3,1164.4,7.4,2087.7,2975806.5,NA,38.8998774,-77.04136526
PM1406610,0168_0823,1750 Pennsylvania Ave,2016,In Compliance,1750 PENNSYLVANIA AV NW,JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.),2,WASHINGTON,DC,20006,1963,Office,Office,440029,297909,81,85.9,88.1,204.1,206.4,2359,7.9,7272.2,4757345.5,93661.1959,38.89905363,-77.04076308
PM2222721,0459_0820,601 Pennsylvania Avenue,2016,In Compliance,0601 PENNSYLVANIA AV NW,SAUL SUBSIDIARY II LTD,2,WASHINGTON,DC,20004,1984,Office,Office,50188,250503,75,65,65,204.2,204.2,1867.9,7.5,4798.7,4773813.5,NA,38.8933069,-77.02050371
PM1423627,0184_0069,1629 K St NW,2016,In Compliance,1629 K ST NW,DAVIS BUILDING LLC,2,WASHINGTON,DC,20006,1963,Office,Office,127650,105891,65,76.2,78.1,204.5,206.5,816.9,7.7,2613.2,1848715.4,17603.25637,38.90293024,-77.03789817
PM3998790,1196_0191,Georgetown Place South,2016,In Compliance,1101 - 1115 30TH ST NW,COLUMBIA REALTY VENTRUE LLC,2,WASHINGTON,DC,20007,1926,Office,Office,278347,89058,65,82.4,83.8,205,205.9,700.5,7.9,330.6,1479959.1,22861.97394,38.90466345,-77.05824395
PM4006008,0015_0048,Avenue suites,2016,In Compliance,2500 PENNSYLVANIA AVE NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,WASHINGTON,DC,20037,1978,Hotel,Hotel,94951,108766,40,94.6,94.3,205.4,203,886.2,8.1,6812.1,1617690.2,47682.75599,38.90344141,-77.05367232
PM1427938,0214_0859,BAEV-LaSalle One Thomas Circle LLC,2016,In Compliance,0001 THOMAS CIR NW,BAEV-LASALLE  ONE THOMAS CIRCLE LLC,2,WASHINGTON,DC,20005,1981,Office,Office,339406,238444,77,65.6,65.6,206,206,1734.9,7.3,4199.2,4583779.8,NA,38.90537932,-77.03260141
PM2946118,0158_0082,Paul H.Nitze,2016,In Compliance,1740 MASSACHUSETTS AVE NW,JOHNS HOPKINS UNIVERSITY,2,WASHINGTON,DC,20036,1962,Office,Office,78889,65273,74,87.4,88.8,206,205.6,522.7,8,1954.7,1045683.8,21380.55105,38.90809383,-77.04033421
PM3495308,PAR01330131,US Conf Catholic Bishops,2016,In Compliance,3211 4TH ST NE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,5,WASHINGTON,DC,20017,1989,Office,Office,169000,194131,64,110.8,114.9,206,209.5,1674.4,8.6,3872.5,2446595.7,122884.793,38.92980185,-76.99947523
PM1192428,0457_0038,The Patrick Henry Building,2016,In Compliance,601 D ST NW,LHL REALTY COMPANY DC LLC,2,WASHINGTON,DC,20530,1974,Office,Office,603712,541518,80,66.4,66.4,206.3,206.3,4089.1,7.6,9068.7,10369730.2,5648.97155,38.89507443,-77.02054111
PM13149,0072_0076,2101 L St NW,2016,In Compliance,2101 L ST NW,CESC 2101 L STREET LLC,2,WASHINGTON,DC,20037,1978,Office,Office,370000,381518,85,65.7,65.7,206.3,206.3,2874.1,7.5,10422.6,7345289.6,NA,38.90437577,-77.0468819
PM1242253,0183_0883,NGS Headquarters,2016,In Compliance,1145 17TH ST NW,NATIONAL GEOGRAPHIC SOCIETY,2,WASHINGTON,DC,20036,1983,Office,Office,598366,746237,83,81.3,81.8,207.4,207.9,5903.3,7.9,10305.2,12770278.5,170651.4879,38.90519711,-77.03815544
PM4067117,0171_0815,1700 New York Avenue,2016,In Compliance,1700  NEW YORK AV NW,1700 NEW YORK AVENUE LLC,2,WASHINGTON,DC,20006,2013,Office,Office,124000,123017,71,66.3,66.9,208.1,210.2,934.9,7.6,1914.9,2389381.4,NA,38.89602623,-77.04034803
PM3990197,0250_0049,Ruthenium,2016,In Compliance,1331 H ST NW,RUTHENIUM LLC,2,WASHINGTON,DC,20005,1964,Office,Office,90458,74898,58,66.3,65.6,208.3,205.9,569.9,7.6,1915.3,1456384.9,NA,38.90052695,-77.03067223
PM1649511,0024_0871,2445 M Street,2016,In Compliance,2445 M ST NW,WRIT 2445 M LLC,2,WASHINGTON,DC,20037,1986,Office,Office,397105,305149,84,66.5,66.5,208.7,208.7,2325.6,7.6,6342.7,5943565.8,NA,38.90558858,-77.05263423
PM1356874,0216_0033,1015 15th Street,2016,In Compliance,1015 15TH ST NW,1015 15TH STREET INC,2,WASHINGTON,DC,20005,1979,Office,Office,252721,193006,76,67.2,67.2,208.8,208.8,1475.1,7.6,4118.3,3741186.3,2122.056537,38.90308514,-77.03413181
PM3524433,0097_0816,Hotel Madera,2016,In Compliance,1308 - 1310 NEW HAMPSHIRE AV NW,LHO WASHINGTON HOTEL TWO LLC,2,WASHINGTON,DC,20036,1963,Hotel,Hotel,60291,66390,48,120.3,121.5,208.9,209,585.8,8.8,4165.4,768844.8,53650.38473,38.90764051,-77.04575613
PM3524410,0067_0065,Hotel Palomar DC,2016,In Compliance,2121 P ST NW,SILVER P LLC,2,WASHINGTON,DC,20037,1965,Hotel,Hotel,249568,248450,47,115.5,116.1,210.1,208.8,2174.3,8.8,22685,3091763.2,181591.046,38.90982104,-77.0474154
PM4376628,1231_0143,georgetown washington dc inn llc,2016,In Compliance,1310 WISCONSIN AVE NW,GEORGETOWN WASHINGTON DC INN LLC,2,WASHINGTON,DC,20007,1961,Hotel,Hotel,58722,58722,13,86.1,86.5,210.2,210.6,475.8,8.1,3533.8,986299.9,16918.99991,38.90721329,-77.06356493
PM25204,0116_0073,1919 M Street,2016,In Compliance,1919 M ST NW,1919 M STREET ASSOCIATES LP,2,WASHINGTON,DC,20036,1967,Office,Office,297005,269071,77,67,67,210.4,210.4,2068,7.7,4835.3,5285246.6,NA,38.90641907,-77.04457082
PM1331555,0248_0812,Hamilton Crowne Plaza Hotel,2016,In Compliance,1001 14TH ST NW,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,2,WASHINGTON,DC,20005,1921,Hotel,Hotel,146425,222000,52,90.1,91.2,210.6,211.7,1821.2,8.2,13656.7,3610478.6,76894.80476,38.90292735,-77.03158979
PM2590139,0800_0029,300 M Street SE,2016,In Compliance,300 M ST SE,FEDERAL CENTER LP,6,WASHINGTON,DC,20003,2001,Office,Office,397139,299132,69,67.2,67.2,211,211,2305.2,7.7,14548.9,5891279.3,NA,38.87685912,-77.00132817
PM4376473,0127_0051,Paralyzed Veterans of America,2016,In Compliance,801 18TH ST NW,801 18TH STREET ASSOCIATES,2,WASHINGTON,DC,20006,1982,Office,Office,57976,49144,46,67.3,67.3,211.5,211.3,379.5,7.7,904.2,969994,NA,38.90051957,-77.04146478
PM4390334,0376_0068,900 G,2016,In Compliance,900 G ST NW,ASB MRP 900 G STREET LLC,2,WASHINGTON,DC,20001,2014,Office,Office,102133,112635,58,67.5,67.5,211.9,211.9,871.8,7.7,1574.4,2227955.8,NA,38.89814924,-77.02439197
PM3512975,0458_0023,633 Indiana,2016,In Compliance,633 INDIANA AVE NW,INDIANA ASSOCIATES,2,WASHINGTON,DC,20004,1968,Office,Office,175739,153031,52,89,90.3,212.8,214.1,1226.5,8,2405,3057569.4,31918.86797,38.89438319,-77.02117156
PM2930341,0114_0816,National Center for Higher Education,2016,In Compliance,0001 DUPONT CIR NW,AMERICAN COUNCIL ON EDUCATION,2,WASHINGTON,DC,20036,1969,Office,Office,302468,232957,77,104.1,97,213.2,205.7,2000.8,8.6,5864.4,3393124.9,126725.9626,38.90923459,-77.04445362
PM3991512,0036_1489,West End Residences,2016,In Compliance,1221 24TH ST NW,WEST END RESIDENCES,2,WASHINGTON,DC,20037,2011,Multifamily Housing,Multifamily Housing,69225,67540,6,89.3,89.8,213.4,212.5,558.5,8.3,3466.5,1132938.9,21683.82323,38.90573626,-77.05112599
PM1492661,0247_0096,The CoStar Group Building,2016,In Compliance,1331 L ST NW,MANGER 8-10-34 TRUST PARTNERS LLC,2,WASHINGTON,DC,20005,2008,Office,Office,178646,198452,87,68.1,68,213.8,213.4,6063.6,30.6,3503.3,3959483.8,NA,38.9040767,-77.03099011
PM2999304,0531_0036,DC0321ZZ - JUDICIARY CENTER,2016,In Compliance,555 4TH ST NW,555 FOURTH STREET ASSOCIATES,2,WASHINGTON,DC,20001,1982,Office,Office,472170,345776,77,68.1,68.1,213.8,213.8,2700.2,7.8,559.7,6900941.1,NA,38.89685236,-77.01564074
PM1446135,0428_0020,810 7th St N.W.,2016,In Compliance,0810 7TH ST NW,810 SEVENTH AVENUE SPE LLC,2,WASHINGTON,DC,20001,1990,Office,Office,405885,282901,89,68.1,67.3,213.9,211.4,2210.5,7.8,6509.2,5649400,NA,38.90063284,-77.02220151
PM3510427,0627_0013,06270013_500 New Jersey Avenue,2016,In Compliance,500 NEW JERSEY AVE NW,NATIONAL ASSOCIATION OF REALTORS,6,WASHINGTON,DC,20001,2004,Office,Office,105000,101931.9,70,68.2,68.1,214.3,213.8,797.8,7.8,2524.3,2038923.9,NA,38.89652228,-77.01191263
PM1423975,0185_0042,1666 K St NW,2016,In Compliance,1666 - 1632 K ST NW,1620 K LLC,2,WASHINGTON,DC,20006,1974,Office,Office,453352,293912,62,68.3,68.3,214.5,214.5,2302.1,7.8,9084.3,5883413,NA,38.90223469,-77.03770249
PM2590132,1190_0842,1050 Thomas Jefferson Street NW,2016,In Compliance,1050 THOMAS JEFFERSON ST NW,KIRSTEIN GERWIRZ AND ABEL,2,WASHINGTON,DC,20007,1980,Office,Office,287032,206542,80,68.5,68.5,215.2,215.2,1623.7,7.9,3228.4,4149599.4,NA,38.90388654,-77.06040573
PM2293741,0122_0028,Old Main,2016,In Compliance,1922 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1915,Office,Office,55789,51261,59,82.8,83.7,215.4,215.1,419.5,8.2,304.9,923668.8,10935.00542,38.89712029,-77.04431914
PM5829,0183_0857,1101 17th Street,2016,In Compliance,1101 17TH ST NW,CESC 1101 17TH STREET LIMITED PARTNERSHIP,2,WASHINGTON,DC,20036,1964,Office,Office,330550,223218,76,87.8,89,215.6,215,1852.2,8.3,8749.1,3863002.5,64143.38666,38.90405585,-77.03797318
PM1327939,0168_0050,1700 Pennsylvania Avenue NW (Mills),2016,In Compliance,1700 PENNSYLVANIA AV NW,THE MILLS BUILDING ASSOCIATES LLC,2,WASHINGTON,DC,20006,1965,Office,Office,244556,176716,71,90.4,91.7,215.9,215.8,1478.5,8.4,4665.5,2998082.5,57486.83123,38.89865698,-77.03991253
PM1787720,0327_0840,Potomac Center North,2016,In Compliance,500 12TH ST SW,POTOMAC CENTER NORTH INC,6,WASHINGTON,DC,20024,1969,Office,Office,671975,504155,91,68.8,68.3,216.1,214.6,3978.6,7.9,9556.8,10168099.4,NA,38.88398594,-77.02748624
PM2285518,0115_0085,1333 New Hampshire Ave.,2016,In Compliance,1333 NEW HAMPSHIRE AV NW,BP 1333 NEW HAMPSHIRE AVE LLC,2,WASHINGTON,DC,20036,1978,Office,Office,357983,325215,78,69,68.9,216.5,216.2,2572.3,7.9,7963,6570996.5,NA,38.90849175,-77.04374959
PM1433767,0247_0101,1121 Fourteenth Street NW (Neuroscience),2016,In Compliance,1121 14TH ST NW,SOCIETY OF NEUROSCIENCE,2,WASHINGTON,DC,20005,2006,Office,Office,112762,89372,74,69,67.7,216.6,212.7,707.1,7.9,1959.3,1807007.9,NA,38.90456703,-77.03163744
PM1497433,0214_0106,1101 15th Street,2016,In Compliance,1101 - 1117 15TH ST NW,1101 FIFTEENTH LLC,2,WASHINGTON,DC,20005,1976,Office,Office,213934,171350,68,69.1,70.2,216.8,220.4,1356.9,7.9,3986.2,3467869,NA,38.90415805,-77.03421391
PM1960203,0720_0824,Station Place I,2016,In Compliance,100 F ST NE,SECOND STREET HOLDINGS LLC,6,WASHINGTON,DC,20549,2004,Office,Office,929605,788412,79,69.2,69.2,217.4,217.4,6259.1,7.9,12350.4,15996186.5,NA,38.89822937,-77.00398344
PM2451324,0105_0843,1899 Pennsylvania Avenue,2016,In Compliance,1899 PENNSYLVANIA AVE NW,1899 PENN OWNER LP,2,WASHINGTON,DC,20006,1925,Office,Office,195338,205741,72,71.6,71.6,217.9,217.9,1647.2,8,3353.1,4119044.8,6672.743757,38.90052,-77.04300737
PM3531245,0289_0831,"1200 G Street, NW",2016,In Compliance,1200 G ST NW,12TH & G STREETS ASSOCIATES,2,WASHINGTON,DC,20005,1991,Office,Office,269751,196325,73,73.1,72.7,218.2,217.1,1580.3,8,5283.9,3895996.3,10514.05669,38.89817806,-77.02826648
PM3426697,2138_0812,Omni Shoreham Hotel,2016,In Compliance,2500 CALVERT ST NW,OMNI SHOREHAM CORPORATION,3,WASHINGTON,DC,20008,1931,Hotel,Hotel,791548,953000,38,96.1,96.2,218.4,217.1,8172.3,8.6,52970.1,15701096.7,376620.0277,38.92263332,-77.0536667
PM3481129,0464_0026,300 SEVENTH ST NY OWNER LLC,2016,In Compliance,0300 7TH ST SW,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),6,WASHINGTON,DC,20024,1965,Office,Office,201896,145187,71,75.9,76.5,218.4,219,1178.2,8.1,2856.1,2824130.4,13769.6625,38.8852286,-77.02100862
PM2035970,0253_0068,The Henry J Kaiser Family Foundation,2016,In Compliance,1330 G ST NW,HENRY J KAISER FAMILY FOUNDATION,2,WASHINGTON,DC,20005,2003,Office,Office,95673,64160,58,81.3,82.1,218.8,217.4,59.3,0.9,1044.5,1200704.3,11163.61073,38.89806328,-77.03093447
PM2701797,0317_0841,1101 New York Ave,2016,In Compliance,1101 NEW YORK AV,1101 NEW YORK HOLDINGS LLC,2,WASHINGTON,DC,20005,2007,Office,Office,512092,392374,75,70.8,70.8,218.8,218.8,3145.8,8,6837.8,7948681,6696.811265,38.90168468,-77.02753907
PM1342182,0574_0025,101 Constitution,2016,In Compliance,101 CONSTITUTION AVE NW,UNITED BROTHERHD CRPT JNR AM NATL H S FD,6,WASHINGTON,DC,20001,2002,Office,Office,561068,527366,80,69.7,69.7,219,219,4218.1,8,13454,10779999.1,NA,38.89279296,-77.01306886
PM1380075,0076_0088,"2033 K Street, NW",2016,In Compliance,2033 - 2041 K ST NW,2033 K LP,2,WASHINGTON,DC,20036,1975,Office,Office,128767,132859.1,78,69.7,69.3,219,217.6,1062.6,8,2526.2,2715673.1,NA,38.90317331,-77.04634227
PM1811655,0347_0022,Lincoln Square,2016,In Compliance,555 11TH ST NW,555 11TH OWNER LLC,2,WASHINGTON,DC,20004,2000,Office,Office,573411,416761,73,70.8,70.8,219.2,219.2,3346.2,8,12479.6,8466878.5,6251.90826,38.89670056,-77.026359
PM3993869,0165_0029,Club Quarters Washington DC,2016,In Compliance,0839 17TH ST NW,CQ DC ACQUISITION LLC,2,WASHINGTON,DC,20006,1926,Hotel,Hotel,59746,59746,60,93.3,93.4,219.6,217.3,510.2,8.5,3654.6,1019041.2,20991.02157,38.90118696,-77.0391062
PM3955321,0093_0830,1666 Connecticut Ave NW,2016,In Compliance,1666 CONNECTICUT AV NW,1666 CONNECTICUT AVENUE LLC,2,WASHINGTON,DC,20009,1962,Office,Office,113302,84894,54,88.2,87.5,219.9,214.3,715.9,8.4,1165.9,1515478.2,23142.23107,38.91231957,-77.0454424
PM2596994,0184_0075,Independent Sector,2016,In Compliance,1602 L ST NW,1602 IS LLC,2,WASHINGTON,DC,20036,2006,Office,Office,62476,60830,53,70.1,70.1,220,220,488.7,8,1943.4,1248952.7,NA,38.90359148,-77.03722855
PM3513020,3065_0036,Howard Center/ Book Store,2016,In Compliance,2225 GEORGIA AVE NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20059,1978,Office,Office,122766,90157,64,71.8,71.9,220,220.1,727.7,8.1,4585.4,1827699.7,2368.719789,38.91973496,-77.0215489
PM3685602,0377_0846,Courtyard Marriott Convention Center,2016,In Compliance,0900 - 0908 F ST NW,900 F STREET ASSOCIATES LLC,2,WASHINGTON,DC,20004,1891,Hotel,Hotel,128772,122548,42,83,82.8,220.4,218.2,1021.1,8.3,8434.9,2288957.7,23627.02973,38.89707374,-77.02432854
PM3603031,0493_0808,FCP-400,2016,In Compliance,0400 C ST SW,FEDERAL CENTER OFFICE ASSOCIATES LLC,6,WASHINGTON,DC,20547,1982,Office,Office,505175,422684,37,78.8,78.3,220.6,219.1,3373.4,8,9924.6,9759025.1,NA,38.88583271,-77.01790347
PM3999702,0693_0086,Democratic Properties Corporation,2016,In Compliance,430 SOUTH CAPITOL ST SE,DEMOCRATIC PROPERTIES CORPORATION,6,WASHINGTON,DC,20003,1984,Office,Office,77776,94163,65,70.3,70.3,220.6,220.6,758.8,8.1,2919,1939173.8,NA,38.88407543,-77.00859716
PM1423392,0198_0846,1501 K St NW,2016,In Compliance,1501 K ST NW,I B ASSOCIATES LIMITED PARTNERSHIP,2,WASHINGTON,DC,20005,1923,Office,Office,502963,411655,71,70.3,70.3,220.8,220.8,3319.2,8.1,6829.8,8482763.7,NA,38.90295985,-77.03512046
PM3411637,0390_0053,NBL Associates,2016,In Compliance,800 9TH ST SW,NBL ASSOCIATES LP,6,WASHINGTON,DC,20024,1986,Office,Office,160748,120838,80,70.3,70.3,220.8,220.8,974.5,8.1,1847.6,2490554.8,NA,38.88059988,-77.02419373
PM3513078,3064_0044,Wonder Plaza,2016,In Compliance,2301 GEORGIA AVE NW,HOWARD UNIVERSITY  (LAND ONLY),1,WASHINGTON,DC,20001,1906,Office,Office,119700,110000,36,74.6,75.3,221.2,221.9,898.6,8.2,4626.7,2203982.1,6811.415939,38.92061614,-77.02162297
PM4531849,0342_0060,Cato Institute,2016,In Compliance,1000 MASSACHUSETTS AV,CATO INSTITUTE INC,2,WASHINGTON,DC,20001,1993,Office,Office,104133,75977,60,70.7,71.9,221.9,225.7,595.6,7.8,1647.3,1573499.8,NA,38.90333457,-77.02628587
PM1994306,0163_0055,Washington Square,2016,In Compliance,1050 CONNECTICUT AV NW,MARIA C TRIPOLI,2,WASHINGTON,DC,20036,1981,Office,Office,967088,654156,76,70.8,70.6,222.3,221.7,5311.4,8.1,19783.1,13574183,NA,38.9035877,-77.04017396
PM3316372,5869_0068,Oxford Manor Apartments,2016,In Compliance,2607 - 2637 BOWEN RD SE,OXFORD MANOR LP,8,WASHINGTON,DC,20020,1966,Multifamily Housing,Multifamily Housing,279872,291302,1,80.4,80.4,222.9,222.9,2432,8.3,13398.7,5654203.3,41341.00198,38.85976367,-76.98925904
PM1163866,0008_0811,0600 New Hampshire Avenue NW (Watergate),2016,In Compliance,0600 NEW HAMPSHIRE AV NW,WATERGATE HOLDINGS I LLC,2,WASHINGTON,DC,20037,1967,Office,Office,363050,274942,76,83.4,84.5,223,222.5,2363.2,8.6,5908,5104075.8,NA,38.89781099,-77.05506721
PM1878428,0139_0817,Jefferson Building,2016,In Compliance,1225 19TH ST NW,DC JEFFERSON BUILDING LLC,2,WASHINGTON,DC,20036,1963,Office,Office,101337,65799,70,71.3,71,223.8,223,537.9,8.2,1483.5,1374755.3,NA,38.90666052,-77.0430701
PM1947403,0171_0033,United Unions,2016,In Compliance,1750 NEW YORK AVE NW,UNITED UNIONS INC,2,WASHINGTON,DC,20006,1973,Office,Office,216228,184573,73,80.2,80.7,224,223.8,3830,20.8,3663,3617521.8,24562.3124,38.89568161,-77.04100697
PM3568865,0016_0884,The River Inn,2016,In Compliance,0924 25TH ST NW,ALAMAC INC,2,WASHINGTON,DC,20037,1957,Other,Hotel,85052,76179,42,123.5,122.1,224,219.6,711.3,9.3,6232.2,1007960.3,59658.84909,38.90143136,-77.05371415
PM3472208,0085_0830,1900 L Street,2016,In Compliance,1900 L ST NW,ZG 1900 L STREET LLC,2,WASHINGTON,DC,20036,1964,Office,Office,155462,101978,73,84.8,85.7,224.2,222.5,865.2,8.5,2402.2,1932279.1,20541.68819,38.90359463,-77.04373147
PM1056237,0138_0804,1300 Connecticut Avenue NW,2016,In Compliance,1300 CONNECTICUT AV NW,TRT 1300 CONNECTICUT AVE OWNER LLC,2,WASHINGTON,DC,20036,1956,Office,Office,147560,134864,60,71.5,71.5,224.5,224.5,1105.6,8.2,2988.2,2825602,NA,38.90751862,-77.04267356
PM1419646,0162_0100,Demonet Building,2016,In Compliance,1155 CONNECTICUT AV,TMT DEMONET INC,2,WASHINGTON,DC,20036,1984,Office,Office,90346,100104.2,48,71.7,70.3,225,220.7,822.6,8.2,1655.7,2102407.5,NA,38.90545796,-77.04039486
PM3995293,0068_0818,Brinton Woods Health and Rehabilitation,2016,In Compliance,2131 O ST NW,MAR-SALLE CENTER ASSOCIATES,2,WASHINGTON,DC,20037,1941,Senior Care Community,Senior Care Community,71734,71734,78,91,92.1,225.5,227.3,621.3,8.7,4571.5,1306787.5,20710.82603,38.90885735,-77.04801464
PM3636920,0755_0003,The Heritage Foundation 214 Building,2016,In Compliance,208 MASSACHUSETTS AVE NE,THE HERITAGE FOUNDATION,6,WASHINGTON,DC,20002,1960,Office,Office,63291,75954,71,71.9,71.5,225.7,224.5,626.2,8.2,982.1,1600404.7,NA,38.89533555,-77.00295008
PM1050505,0140_0089,1899 L Street,2016,In Compliance,1899 L ST NW,1899 L  STREET TOWER LLC,2,WASHINGTON,DC,20036,1978,Office,Office,147460,159817,77,72.1,72.1,226.3,226.3,1321,8.3,4517.8,3375950.4,NA,38.90417373,-77.04292909
PM4178746,5236_0103,Richardson dwellings,2016,Data Under Review by DOEE,5353 - 5375 CLAY TR NE,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,7,WASHINGTON,DC,20019,1953,Multifamily Housing,Multifamily Housing,NA,195956,5,159.2,163.6,226.7,228.8,1979.8,10.1,20917,1638384.9,255987.0168,38.89382312,-76.92383885
